workflow_ID;step_type;step_order;step_name;completion_time
QueueDocuments;Data assignment;1;Assign data;02/03/2026 15:38:08
QueueDocuments;Condition;2;Check If Previous Doc Not Deleted;02/03/2026 15:38:08
QueueDocuments;Time delay;3;Wait for Queue;02/03/2026 15:39:10
QueueDocuments;Data assignment;4;Assign Queue Number;02/03/2026 15:39:10
QueueDocuments;Condition;5;Check if Previous Document Extracted;02/03/2026 15:39:10
QueueDocuments;Data assignment;6;Get AP Doc ID;02/03/2026 15:39:10
QueueDocuments;Condition;7;Check if Current Doc ID Not Deleted;02/03/2026 15:39:10
QueueDocuments;Data assignment;8;Assign Starting Condition;02/03/2026 15:39:10
0ExtractLineItem;Condition;9;Check Document Type;02/03/2026 15:39:12
0ExtractLineItem;Data assignment;10;Assign Random;02/03/2026 15:39:12
0ExtractLineItem;Time delay;11;Wait for Metadata;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;12;Assign data from Document;02/03/2026 15:40:22
0ExtractLineItem;Condition;13;Check Duplicate PO;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;14;Assign Starting Line;02/03/2026 15:40:22
0ExtractLineItem;Condition;15;Check if end of lines;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;16;Assign Line to Populate;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;17;Assign Line Data;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;18;Remove Illegal Chracters on Line Data;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;19;Export Line;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;20;Next Line;02/03/2026 15:40:22
0ExtractLineItem;Condition;21;Mod 45;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;14;Assign Starting Line;02/03/2026 15:40:22
0ExtractLineItem;Condition;15;Check if end of lines;02/03/2026 15:40:22
0ExtractLineItem;Condition;22;Check if PO;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;23;Assign PO Line Count;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;24;Starting Line;02/03/2026 15:40:22
0ExtractLineItem;Condition;25;While Current Line < PO Line Total;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;26;Assign Line Current Data;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;27;Assign New Line Data;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;28;Assign Data to Line;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;29;Increment Line;02/03/2026 15:40:22
0ExtractLineItem;Condition;30;Mod 45_copy_copy;02/03/2026 15:40:22
0ExtractLineItem;Condition;25;While Current Line < PO Line Total;02/03/2026 15:40:22
0ExtractLineItem;Data assignment;31;Final Status Update;02/03/2026 15:40:22
0EnhanceMetaData;Data assignment;32;Assign data;02/03/2026 15:39:14
0EnhanceMetaData;Data assignment;33;Retrieve Data;02/03/2026 15:39:14
0EnhanceMetaData;Condition;34;Check Supplier Tax Code;02/03/2026 15:39:14
0EnhanceMetaData;Data assignment;35;Get Supplier VAT;02/03/2026 15:39:14
0EnhanceMetaData;Data assignment;36;Assign data to Document;02/03/2026 15:39:14
0EnhanceMetaData;Condition;37;Document Type PO;02/03/2026 15:39:14
0EnhanceMetaData;Condition;38;Document Type Delivery Note;02/03/2026 15:39:14
0EnhanceMetaData;Condition;39;Document Type Credit Note;02/03/2026 15:39:14
0EnhanceMetaData;Condition;40;Document Type Invoice;02/03/2026 15:39:14
0EnhanceMetaData;Data assignment;41;Assign Invoice Data;02/03/2026 15:39:14
0.2InvoiceReceived;Data assignment;42;Assign data from Document;02/03/2026 15:40:27
0.2InvoiceReceived;Data assignment;43;Assign Starting Line;02/03/2026 15:40:27
0.2InvoiceReceived;Condition;44;Check if end of lines;02/03/2026 15:40:27
0.2InvoiceReceived;Data assignment;45;Assign Line Data;02/03/2026 15:40:27
0.2InvoiceReceived;Condition;46;Check Blocked Cost Center ;02/03/2026 15:40:27
0.2InvoiceReceived;Data assignment;47;Table Field Assignment;02/03/2026 15:40:27
0.2InvoiceReceived;Condition;48;Check if Line Data;02/03/2026 15:40:27
0.2InvoiceReceived;Condition;49;Check Cost Center;02/03/2026 15:40:27
0.2InvoiceReceived;Data assignment;50;Next Line;02/03/2026 15:40:27
0.2InvoiceReceived;Condition;51;Mod 45;02/03/2026 15:40:27
0.2InvoiceReceived;Data assignment;43;Assign Starting Line;02/03/2026 15:40:27
0.2InvoiceReceived;Condition;44;Check if end of lines;02/03/2026 15:40:27
0.2InvoiceReceived;Data assignment;52;Final Status Update;02/03/2026 15:40:27
1Validation;Data assignment;53;Set information;02/03/2026 15:40:36
1Validation;Data assignment;54;Assign PO DocID;02/03/2026 15:40:36
1Validation;Condition;55;PO Check;02/03/2026 15:40:36
1Validation;Data assignment;56;Assign PO Status;02/03/2026 15:40:36
1Validation;Data assignment;57;Data for Onboarding;02/03/2026 15:40:36
1Validation;Condition;58;Onboarding Required Checks;02/03/2026 15:40:36
1Validation;Data assignment;59;Set Onboarding Required Checks;02/03/2026 15:40:36
1Validation;Condition;60;Supplier check activated;02/03/2026 15:40:36
1Validation;User assignment;61;Assign to Validation;02/03/2026 15:40:36
1Validation;Data assignment;62;Connect client and supplier;02/03/2026 15:40:36
1Validation;Condition;63;Combination valid;02/03/2026 15:40:36
1Validation;Data assignment;64;Get supplier account;02/03/2026 15:40:36
1Validation;Condition;65;Supplier account available;02/03/2026 15:40:36
1Validation;Condition;66;Supplier account2 > 1;02/03/2026 15:40:36
1Validation;Data assignment;67;Enter supplier account;02/03/2026 15:40:36
1Validation;Condition;68;Supplier and account valid;02/03/2026 15:40:36
1Validation;Data assignment;69;Financial Year;02/03/2026 15:40:36
1Validation;Condition;70;Financial year with 0101;02/03/2026 15:40:36
1Validation;Data assignment;71;Start FY new order;02/03/2026 15:40:36
1Validation;Data assignment;72;Duplicate check;02/03/2026 15:40:36
1Validation;Condition;73;Duplicate available;02/03/2026 15:40:36
